Precip_2016_mm,Precip_2016_m,Streamflow_l/s,Streamflow_m3/day,flow_m/day
0.3,0.0003,0.061,5.2704,1.78E-05
0,0,0.035,3.024,1.02E-05
0,0,0.033,2.8512,9.62E-06
7.4,0.0074,0.063,5.4432,1.84E-05
0.6,0.0006,0.065,5.616,1.89E-05
0,0,0.051,4.4064,1.49E-05
0,0,0.028,2.4192,8.16E-06
0,0,0.024,2.0736,7.00E-06
2,0.002,0.024,2.0736,7.00E-06
0.5,0.0005,0.024,2.0736,7.00E-06
0,0,0.024,2.0736,7.00E-06
0,0,0.027,2.3328,7.87E-06
3.8,0.0038,0.052,4.4928,1.52E-05
0,0,0.041,3.5424,1.20E-05
56.9,0.0569,1.123,97.0272,0.000327352
17,0.017,2.368,204.5952,0.000690267
3.4,0.0034,7.22,623.808,0.002104615
0,0,0.959,82.8576,0.000279547
10.1,0.0101,0.714,61.6896,0.00020813
1.1,0.0011,1.308,113.0112,0.000381279
0,0,0.586,50.6304,0.000170818
0,0,0.267,23.0688,7.78E-05
0,0,0.166,14.3424,4.84E-05
9.6,0.0096,0.133,11.4912,3.88E-05
18,0.018,7.777,671.9328,0.00226698
0,0,1.448,125.1072,0.000422089
0,0,0.518,44.7552,0.000150996
0,0,0.275,23.76,8.02E-05
10.1,0.0101,0.458,39.5712,0.000133506
0,0,0.295,25.488,8.60E-05
0.8,0.0008,0.159,13.7376,4.63E-05
0,0,0.187,16.1568,5.45E-05
0,0,0.158,13.6512,4.61E-05
0.3,0.0003,0.143,12.3552,4.17E-05
0,0,0.133,11.4912,3.88E-05
0,0,0.119,10.2816,3.47E-05
0,0,0.11,9.504,3.21E-05
0,0,0.109,9.4176,3.18E-05
0,0,0.092,7.9488,2.68E-05
0,0,0.078,6.7392,2.27E-05
0,0,0.071,6.1344,2.07E-05
0,0,0.07,6.048,2.04E-05
0,0,0.059,5.0976,1.72E-05
0.6,0.0006,0.052,4.4928,1.52E-05
15.3,0.0153,0.564,48.7296,0.000164405
0,0,0.234,20.2176,6.82E-05
0,0,0.17,14.688,4.96E-05
0,0,0.146,12.6144,4.26E-05
0,0,0.13,11.232,3.79E-05
0,0,0.119,10.2816,3.47E-05
0,0,0.104,8.9856,3.03E-05
3.8,0.0038,0.164,14.1696,4.78E-05
9.3,0.0093,0.326,28.1664,9.50E-05
0,0,0.243,20.9952,7.08E-05
0,0,0.141,12.1824,4.11E-05
0,0,0.113,9.7632,3.29E-05
7.4,0.0074,0.178,15.3792,5.19E-05
0,0,0.159,13.7376,4.63E-05
0,0,0.151,13.0464,4.40E-05
0,0,0.112,9.6768,3.26E-05
10.9,0.0109,0.215,18.576,6.27E-05
0,0,0.134,11.5776,3.91E-05
0,0,0.107,9.2448,3.12E-05
0,0,0.09,7.776,2.62E-05
1.2,0.0012,0.079,6.8256,2.30E-05
0.6,0.0006,0.083,7.1712,2.42E-05
8.6,0.0086,0.109,9.4176,3.18E-05
1.8,0.0018,0.138,11.9232,4.02E-05
0,0,0.067,5.7888,1.95E-05
0,0,0.062,5.3568,1.81E-05
0,0,0.06,5.184,1.75E-05
1.5,0.0015,0.056,4.8384,1.63E-05
0.3,0.0003,0.057,4.9248,1.66E-05
0,0,0.053,4.5792,1.54E-05
0,0,0.057,4.9248,1.66E-05
0,0,0.057,4.9248,1.66E-05
5.6,0.0056,0.066,5.7024,1.92E-05
0,0,0.063,5.4432,1.84E-05
0,0,0.045,3.888,1.31E-05
6.7,0.0067,0.041,3.5424,1.20E-05
0,0,0.147,12.7008,4.29E-05
0,0,0.107,9.2448,3.12E-05
0.6,0.0006,0.142,12.2688,4.14E-05
4.8,0.0048,0.158,13.6512,4.61E-05
25.4,0.0254,0.698,60.3072,0.000203466
10.1,0.0101,3.448,297.9072,0.001005085
11.5,0.0115,1.985,171.504,0.000578623
0,0,0.874,75.5136,0.000254769
1.5,0.0015,0.658,56.8512,0.000191806
0,0,0.433,37.4112,0.000126219
13.1,0.0131,0.345,29.808,0.000100567
19.4,0.0194,6.533,564.4512,0.001904356
14.1,0.0141,12.104,1045.7856,0.003528291
0,0,13.392,1157.0688,0.003903741
0.6,0.0006,3.966,342.6624,0.001156081
0,0,1.97,170.208,0.000574251
0,0,1.82,157.248,0.000530526
25.4,0.0254,16.438,1420.2432,0.004791644
0.6,0.0006,5.867,506.9088,0.001710219
0,0,2.442,210.9888,0.000711838
0.9,0.0009,1.617,139.7088,0.000471352
0,0,1.156,99.8784,0.000336972
0,0,0.836,72.2304,0.000243692
0,0,0.729,62.9856,0.000212502
0,0,0.628,54.2592,0.000183061
3.2,0.0032,0.555,47.952,0.000161781
0,0,0.449,38.7936,0.000130883
0,0,0.433,37.4112,0.000126219
0,0,0.378,32.6592,0.000110186
13.4,0.0134,0.51,44.064,0.000148664
3.3,0.0033,4.343,375.2352,0.001265976
0,0,3.071,265.3344,0.00089519
0,0,1.518,131.1552,0.000442494
0,0,1.009,87.1776,0.000294121
8.7,0.0087,1.125,97.2,0.000327935
5.1,0.0051,1.109,95.8176,0.000323271
0,0,0.761,65.7504,0.00022183
0,0,0.619,53.4816,0.000180437
7.5,0.0075,0.485,41.904,0.000141377
5.6,0.0056,0.481,41.5584,0.000140211
1.2,0.0012,0.622,53.7408,0.000181312
0,0,0.789,68.1696,0.000229992
0,0,0.616,53.2224,0.000179563
