Precip_2016_mm,Precip_2016_m,Streamflow_l/s,Streamflow_m3/day
2.3,0.0023,1.141,98.5824
0,0,1.003,86.6592
0,0,0.88,76.032
0,0,0.739,63.8496
0,0,0.681,58.8384
0,0,0.64,55.296
0,0,0.532,45.9648
0,0,0.532,45.9648
1.8,0.0018,0.5,43.2
31,0.031,20.416,1763.9424
1.4,0.0014,11.656,1007.0784
5.3,0.0053,2.835,244.944
5.3,0.0053,1.744,150.6816
0,0,1.296,111.9744
0,0,1.044,90.2016
7.3,0.0073,0.947,81.8208
0.4,0.0004,0.794,68.6016
6.1,0.0061,0.735,63.504
0,0,0.673,58.1472
0,0,0.544,47.0016
0,0,0.472,40.7808
0,0,0.494,42.6816
0,0,0.422,36.4608
0,0,0.349,30.1536
0,0,0.348,30.0672
0,0,0.347,29.9808
1,0.001,0.343,29.6352
0,0,0.308,26.6112
0,0,0.308,26.6112
0,0,0.308,26.6112
0,0,0.307,26.5248
0,0,0.357,30.8448
0,0,0.354,30.5856
27.8,0.0278,1.295,111.888
0,0,8.699,751.5936
1.9,0.0019,2.666,230.3424
0,0,1.433,123.8112
0,0,1.023,88.3872
4.1,0.0041,0.826,71.3664
1.9,0.0019,0.723,62.4672
2.5,0.0025,0.647,55.9008
2.3,0.0023,0.59,50.976
0,0,0.494,42.6816
0.3,0.0003,0.465,40.176
0.3,0.0003,0.433,37.4112
4.4,0.0044,0.356,30.7584
41.2,0.0412,9.612,830.4768
0,0,11.018,951.9552
0,0,2.534,218.9376
5.8,0.0058,1.589,137.2896
12.8,0.0128,1.221,105.4944
0.3,0.0003,1.115,96.336
0,0,1.006,86.9184
0.6,0.0006,0.866,74.8224
34.3,0.0343,5.126,442.8864
30,0.03,46.511,4018.5504
1.5,0.0015,8.065,696.816
0,0,3.051,263.6064
0,0,2,172.8
1.8,0.0018,1.583,136.7712
0.3,0.0003,1.217,105.1488
17.2,0.0172,1.481,127.9584
0,0,1.495,129.168
0,0,1.47,127.008
0,0,1.239,107.0496
0,0,0.919,79.4016
4.8,0.0048,0.698,60.3072
0,0,0.6,51.84
0,0,1.772,153.1008
17.7,0.0177,32.128,2775.8592
4.1,0.0041,20.066,1733.7024
0,0,4.865,420.336
0,0,3.566,308.1024
5.6,0.0056,2.576,222.5664
3.8,0.0038,2.723,235.2672
4.8,0.0048,5.468,472.4352
2.6,0.0026,12.683,1095.8112
2.1,0.0021,4.817,416.1888
0,0,2.324,200.7936
0,0,1.526,131.8464
0.9,0.0009,1.103,95.2992
0,0,0.922,79.6608
0,0,0.806,69.6384
5,0.005,0.702,60.6528
10.6,0.0106,2.33,201.312
0,0,2.515,217.296
0,0,1.517,131.0688
15.2,0.0152,2.584,223.2576
1.2,0.0012,6.287,543.1968
0,0,2.149,185.6736
0.6,0.0006,3.113,268.9632
6.8,0.0068,12.554,1084.6656
0,0,6.877,594.1728
0.6,0.0006,2.492,215.3088
2.1,0.0021,1.441,124.5024
0,0,1.051,90.8064
3.2,0.0032,0.845,73.008
21.7,0.0217,10.965,947.376
4,0.004,9.136,789.3504
0,0,2.646,228.6144
0,0,1.514,130.8096
6.8,0.0068,1.118,96.5952
15,0.015,10.084,871.2576
0,0,3.329,287.6256
0,0,1.914,165.3696
0,0,1.624,140.3136
0,0,1.625,140.4
0,0,2.128,183.8592
1.8,0.0018,3.379,291.9456
3.9,0.0039,3.612,312.0768
0,0,2.198,189.9072
0,0,1.684,145.4976
0.3,0.0003,2.072,179.0208
0,0,2.546,219.9744
0,0,1.763,152.3232
0,0,1.276,110.2464
22.1,0.0221,1.113,96.1632
0,0,1.042,90.0288
0,0,1.016,87.7824
0,0,1.074,92.7936
0,0,1.742,150.5088
6.6,0.0066,3.259,281.5776
21.1,0.0211,14.309,1236.2976
0,0,7.749,669.5136
6.7,0.0067,4.256,367.7184
0,0,4.367,377.3088
0.3,0.0003,2.941,254.1024
0.6,0.0006,2.626,226.8864
6.3,0.0063,4.751,410.4864
0,0,4.175,360.72
0,0,2.176,188.0064
0,0,1.471,127.0944
0,0,1.083,93.5712
12.4,0.0124,2.412,208.3968
5.1,0.0051,4.184,361.4976
