date,time,flow_cfs,flow_cms,flow_ms,flow_mh,Etp,avg_prec_mm,precip_m
5/1/2014,12:00:00 AM,1.8495,0.052371958,6.83E-08,2.46E-04,0.000125,1.150000095,0.00115
5/1/2014,1:00:00 AM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,2.099999905,0.0021
5/1/2014,2:00:00 AM,1.9816,0.05611261,7.32E-08,2.64E-04,0.000125,1.400000095,0.0014
5/1/2014,3:00:00 AM,2.1899,0.062011004,8.09E-08,2.91E-04,0.000125,2.549999952,0.00255
5/1/2014,4:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0.200000003,0.0002
5/1/2014,5:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/1/2014,6:00:00 AM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0.200000003,0.0002
5/1/2014,7:00:00 AM,3.1498,0.089192319,1.16E-07,4.18E-04,0.000125,0.200000003,0.0002
5/1/2014,8:00:00 AM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,1.600000024,0.0016
5/1/2014,9:00:00 AM,3.6118,0.10227469,1.33E-07,4.79E-04,0.000125,1.950000048,0.00195
5/1/2014,10:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0.200000003,0.0002
5/1/2014,11:00:00 AM,4.3223,0.122393791,1.60E-07,5.76E-04,0.000125,0.200000003,0.0002
5/1/2014,12:00:00 PM,4.6501,0.131676044,1.72E-07,6.19E-04,0.000125,2.099999905,0.0021
5/1/2014,1:00:00 PM,4.7626,0.134861686,1.76E-07,6.34E-04,0.000125,0,0
5/1/2014,2:00:00 PM,4.9922,0.141363228,1.84E-07,6.62E-04,0.000125,0,0
5/1/2014,3:00:00 PM,5.3488,0.151461006,1.98E-07,7.13E-04,0.000125,0,0
5/1/2014,4:00:00 PM,5.5947,0.158424112,2.07E-07,7.45E-04,0.000125,0,0
5/1/2014,5:00:00 PM,5.72,0.16197221,2.11E-07,7.60E-04,0.000125,0,0
5/1/2014,6:00:00 PM,5.72,0.16197221,2.11E-07,7.60E-04,0.000125,0,0
5/1/2014,7:00:00 PM,5.72,0.16197221,2.11E-07,7.60E-04,0.000125,0,0
5/1/2014,8:00:00 PM,5.5947,0.158424112,2.07E-07,7.45E-04,0.000125,0,0
5/1/2014,9:00:00 PM,5.3488,0.151461006,1.98E-07,7.13E-04,0.000125,0,0
5/1/2014,10:00:00 PM,5.1095,0.144684791,1.89E-07,6.80E-04,0.000125,0,0
5/1/2014,11:00:00 PM,5.72,0.16197221,2.11E-07,7.60E-04,0.000125,0,0
5/2/2014,12:00:00 AM,6.5072,0.184263211,2.40E-07,8.64E-04,0.000125,0.349999994,0.00035
5/2/2014,1:00:00 AM,6.5072,0.184263211,2.40E-07,8.64E-04,0.000125,0,0
5/2/2014,2:00:00 AM,5.9758,0.169215652,2.21E-07,7.96E-04,0.000125,0.699999988,0.0007
5/2/2014,3:00:00 AM,5.5947,0.158424112,2.07E-07,7.45E-04,0.000125,0,0
5/2/2014,4:00:00 AM,4.9922,0.141363228,1.84E-07,6.62E-04,0.000125,0.600000024,0.0006
5/2/2014,5:00:00 AM,4.6501,0.131676044,1.72E-07,6.19E-04,0.000125,0,0
5/2/2014,6:00:00 AM,4.3223,0.122393791,1.60E-07,5.76E-04,0.000125,0,0
5/2/2014,7:00:00 AM,4.1116,0.116427437,1.52E-07,5.47E-04,0.000125,0,0
5/2/2014,8:00:00 AM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/2/2014,9:00:00 AM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/2/2014,10:00:00 AM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,11:00:00 AM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,12:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,1:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,2:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,3:00:00 PM,3.6118,0.10227469,1.33E-07,4.79E-04,0.000125,0,0
5/2/2014,4:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/2/2014,5:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0.649999976,0.00065
5/2/2014,6:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0.200000003,0.0002
5/2/2014,7:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/2/2014,8:00:00 PM,3.7087,0.10501859,1.37E-07,4.93E-04,0.000125,0,0
5/2/2014,9:00:00 PM,3.6118,0.10227469,1.33E-07,4.79E-04,0.000125,0,0
5/2/2014,10:00:00 PM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/2/2014,11:00:00 PM,3.3301,0.094297842,1.23E-07,4.43E-04,0.000125,0,0
5/3/2014,12:00:00 AM,3.1498,0.089192319,1.16E-07,4.18E-04,0.000125,0,0
5/3/2014,1:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0,0
5/3/2014,2:00:00 AM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/3/2014,3:00:00 AM,2.7248,0.077157671,1.01E-07,3.64E-04,0.000125,0,0
5/3/2014,4:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,5:00:00 AM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,6:00:00 AM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,7:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,8:00:00 AM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,9:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,10:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,11:00:00 AM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,12:00:00 PM,2.3357,0.066139596,8.63E-08,3.11E-04,0.000125,0,0
5/3/2014,1:00:00 PM,2.4107,0.068263358,8.91E-08,3.21E-04,0.000125,0,0
5/3/2014,2:00:00 PM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,3:00:00 PM,2.5649,0.072629811,9.48E-08,3.41E-04,0.000125,0,0
5/3/2014,4:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,5:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,6:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,7:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,8:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,9:00:00 PM,2.6441,0.074872504,9.77E-08,3.52E-04,0.000125,0,0
5/3/2014,10:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/3/2014,11:00:00 PM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,0,0
5/4/2014,12:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0,0
5/4/2014,1:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,1.549999952,0.00155
5/4/2014,2:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0.349999994,0.00035
5/4/2014,3:00:00 AM,2.8904,0.081846936,1.07E-07,3.85E-04,0.000125,2.800000191,0.0028
5/4/2014,4:00:00 AM,2.9754,0.084253866,1.10E-07,3.96E-04,0.000125,0.350000024,0.00035
5/4/2014,5:00:00 AM,3.4225,0.096914316,1.26E-07,4.54E-04,0.000125,0,0
5/4/2014,6:00:00 AM,3.8071,0.107804965,1.41E-07,5.08E-04,0.000125,0,0
5/4/2014,7:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0,0
5/4/2014,8:00:00 AM,4.0085,0.113507973,1.48E-07,5.33E-04,0.000125,0.200000003,0.0002
