date,Time,day_month,P,Qse,Qgw,streamFlow,norm_streamFlow,stream_mmhr,storageRatio,areaRatio
5/1/2014,0:00:00,1-May,1.150000095,396.0583838,72.20940776,468.2677915,0.000612916,0.612915958,0.910860775,0.452145659
5/1/2014,1:00:00,1-May,2.099999905,725.422462,72.2378079,797.6602699,0.001044058,1.044057945,0.912034043,0.453663838
5/1/2014,2:00:00,1-May,1.400000095,485.238874,72.29362271,557.5324967,0.000729755,0.729754577,0.91277876,0.455076368
5/1/2014,3:00:00,1-May,2.549999952,886.5797631,72.32903553,958.9087986,0.001255116,1.255116229,0.91421752,0.458022971
5/1/2014,4:00:00,1-May,0.200000003,69.98591098,72.39741879,142.3833298,0.000186366,0.186365615,0.914232669,0.458047915
5/1/2014,5:00:00,1-May,0,0,72.39813859,72.39813859,9.48E-05,0.094761962,0.914127378,0.457874545
5/1/2014,6:00:00,1-May,0.200000003,69.9632315,72.39313566,142.3563672,0.00018633,0.186330324,0.914142566,0.457899554
5/1/2014,7:00:00,1-May,0.200000003,69.96705285,72.39385735,142.3609102,0.000186336,0.18633627,0.914157748,0.457924552
5/1/2014,8:00:00,1-May,1.600000024,559.7669802,72.39457872,632.1615589,0.000827437,0.827436595,0.915016151,0.458794024
5/1/2014,9:00:00,1-May,1.950000048,683.5113537,72.43535862,755.9467123,0.000989459,0.989459048,0.916083419,0.460412687
5/1/2014,10:00:00,1-May,0.200000003,70.35105958,72.48603962,142.8370992,0.00018696,0.186959554,0.916097908,0.460438494
5/1/2014,11:00:00,1-May,0.200000003,70.35500292,72.4867275,142.8417304,0.000186966,0.186965616,0.916112391,0.460464289
5/1/2014,12:00:00,1-May,2.099999905,738.7688719,72.48741506,811.2562869,0.001061854,1.061853779,0.917265886,0.462180131
5/1/2014,13:00:00,1-May,0,0,72.54216349,72.54216349,9.50E-05,0.094950476,0.917160385,0.461962762
5/1/2014,14:00:00,1-May,0,0,72.53715725,72.53715725,9.49E-05,0.094943923,0.917054892,0.461745408
5/1/2014,15:00:00,1-May,0,0,72.53215112,72.53215112,9.49E-05,0.094937371,0.916949406,0.461602948
5/1/2014,16:00:00,1-May,0,0,72.52714511,72.52714511,9.49E-05,0.094930818,0.916843927,0.461462641
