timestep,Precip_mm,Precip_m,hourly_discharge_cmd,hourly_discharge_cms
01/01/2007 00,1.9,0.0019,196.46,0.002273843
01/01/2007 01,1,0.001,202.39,0.002342477
01/01/2007 02,2.5,0.0025,208.32,0.002411111
01/01/2007 03,1.5,0.0015,208.5,0.002413194
01/01/2007 04,0,0,193.38,0.002238194
01/01/2007 05,0.5,0.0005,172.75,0.001999421
01/01/2007 06,0,0,160.39,0.001856366
01/01/2007 07,0,0,154.48,0.001787963
01/01/2007 08,0,0,145.63,0.001685532
01/01/2007 09,0,0,136.77,0.001582986
01/01/2007 10,0,0,135.3,0.001565972
01/01/2007 11,0,0,135.3,0.001565972
01/01/2007 12,0,0,135.3,0.001565972
01/01/2007 13,0,0,139.73,0.001617245
01/01/2007 14,0,0,148.58,0.001719676
01/01/2007 15,0,0,157.44,0.001822222
01/01/2007 16,0,0,160.39,0.001856366
01/01/2007 17,0,0,160.39,0.001856366
01/01/2007 18,0,0,158.91,0.001839236
01/01/2007 19,0,0,158.91,0.001839236
01/01/2007 20,0,0,158.91,0.001839236
01/01/2007 21,0,0,158.91,0.001839236
01/01/2007 22,0,0,169.22,0.001958565
01/01/2007 23,0,0,179.52,0.002077778
01/02/2007 00,0,0,193.37,0.002238079
01/02/2007 01,0,0,205.73,0.002381134
01/02/2007 02,0,0,216.04,0.002500463
01/02/2007 03,0,0,228.41,0.002643634
01/02/2007 04,0,0,224.28,0.002595833
01/02/2007 05,0,0,213.98,0.00247662
01/02/2007 06,0,0,201.61,0.002333449
01/02/2007 07,0,0,191.31,0.002214236
01/02/2007 08,0,0,193.37,0.002238079
01/02/2007 09,0,0,193.37,0.002238079
01/02/2007 10,0,0,199.55,0.002309606
01/02/2007 11,0,0,211.92,0.002452778
01/02/2007 12,0,0,224.28,0.002595833
01/02/2007 13,0,0,234.59,0.002715162
01/02/2007 14,0,0,236.65,0.002739005
01/02/2007 15,0,0,232.53,0.002691319
01/02/2007 16,0,0,224.28,0.002595833
01/02/2007 17,0,0,213.98,0.00247662
01/02/2007 18,0,0,201.61,0.002333449
01/02/2007 19,0,0,189.24,0.002190278
01/02/2007 20,0,0,176.88,0.002047222
01/02/2007 21,0,0,166.57,0.001927894
01/02/2007 22,0,0,164.51,0.001904051
01/02/2007 23,0,0,162.45,0.001880208
01/03/2007 00,0,0,160.39,0.001856366
01/03/2007 01,0,0,160.39,0.001856366
01/03/2007 02,0,0,160.39,0.001856366
01/03/2007 03,0,0,160.39,0.001856366
01/03/2007 04,0,0,160.39,0.001856366
01/03/2007 05,0,0,160.39,0.001856366
01/03/2007 06,0,0,160.39,0.001856366
01/03/2007 07,0,0,160.39,0.001856366
01/03/2007 08,0,0,160.39,0.001856366
01/03/2007 09,0,0,160.39,0.001856366
01/03/2007 10,0.1,0.0001,160.39,0.001856366
01/03/2007 11,0,0,160.39,0.001856366
01/03/2007 12,0,0,160.39,0.001856366
01/03/2007 13,0,0,160.39,0.001856366
01/03/2007 14,0,0,160.39,0.001856366
01/03/2007 15,0,0,160.39,0.001856366
01/03/2007 16,0,0,160.39,0.001856366
01/03/2007 17,0,0,160.39,0.001856366
01/03/2007 18,0,0,160.39,0.001856366
01/03/2007 19,0,0,160.39,0.001856366
01/03/2007 20,0,0,160.39,0.001856366
01/03/2007 21,0,0,160.39,0.001856366
01/03/2007 22,0,0,160.39,0.001856366
01/03/2007 23,0,0,160.39,0.001856366
01/04/2007 00,0,0,160.39,0.001856366
01/04/2007 01,0,0,160.39,0.001856366
01/04/2007 02,0,0,160.39,0.001856366
01/04/2007 03,0,0,160.39,0.001856366
01/04/2007 04,0,0,160.39,0.001856366
01/04/2007 05,0,0,160.39,0.001856366
01/04/2007 06,0,0,160.39,0.001856366
01/04/2007 07,0,0,160.39,0.001856366
01/04/2007 08,0,0,160.39,0.001856366
01/04/2007 09,0,0,160.39,0.001856366
01/04/2007 10,0,0,160.39,0.001856366
01/04/2007 11,0,0,160.39,0.001856366
01/04/2007 12,0,0,160.39,0.001856366
01/04/2007 13,0,0,160.39,0.001856366
01/04/2007 14,0,0,160.39,0.001856366
01/04/2007 15,0,0,160.39,0.001856366
01/04/2007 16,0,0,160.39,0.001856366
01/04/2007 17,0,0,160.39,0.001856366
01/04/2007 18,0,0,160.39,0.001856366
01/04/2007 19,0,0,160.39,0.001856366
01/04/2007 20,0,0,160.39,0.001856366
01/04/2007 21,0,0,160.39,0.001856366
01/04/2007 22,0,0,160.39,0.001856366
01/04/2007 23,0,0,160.39,0.001856366
01/05/2007 00,0,0,160.39,0.001856366
01/05/2007 01,0,0,160.39,0.001856366
01/05/2007 02,0,0,160.39,0.001856366
01/05/2007 03,0,0,160.39,0.001856366
01/05/2007 04,0.2,0.0002,160.39,0.001856366
01/05/2007 05,3.2,0.0032,160.39,0.001856366
01/05/2007 06,0.6,0.0006,160.39,0.001856366
01/05/2007 07,0.6,0.0006,162.45,0.001880208
01/05/2007 08,0.9,0.0009,174.82,0.00202338
01/05/2007 09,0.5,0.0005,187.18,0.002166435
