TimeStep,Precip_mm,Precip_m
08/01/2007 00,0,0
08/01/2007 01,0,0
08/01/2007 02,0,0
08/01/2007 03,0,0
08/01/2007 04,0,0
08/01/2007 05,0,0
08/01/2007 06,0,0
08/01/2007 07,0,0
08/01/2007 08,0,0
08/01/2007 09,0,0
08/01/2007 10,0,0
08/01/2007 11,0,0
08/01/2007 12,0,0
08/01/2007 13,0,0
08/01/2007 14,0,0
08/01/2007 15,0,0
08/01/2007 16,0,0
08/01/2007 17,0,0
08/01/2007 18,0,0
08/01/2007 19,0,0
08/01/2007 20,0,0
08/01/2007 21,0,0
08/01/2007 22,0,0
08/01/2007 23,0,0
08/02/2007 00,0,0
08/02/2007 01,0,0
08/02/2007 02,0,0
08/02/2007 03,0,0
08/02/2007 04,0,0
08/02/2007 05,0,0
08/02/2007 06,0,0
08/02/2007 07,0,0
08/02/2007 08,0,0
08/02/2007 09,0,0
08/02/2007 10,0,0
08/02/2007 11,0,0
08/02/2007 12,0,0
08/02/2007 13,0,0
08/02/2007 14,0,0
08/02/2007 15,0,0
08/02/2007 16,0,0
08/02/2007 17,0,0
08/02/2007 18,0,0
08/02/2007 19,0,0
08/02/2007 20,0,0
08/02/2007 21,0,0
08/02/2007 22,0,0
08/02/2007 23,0,0
08/03/2007 00,0,0
08/03/2007 01,0,0
08/03/2007 02,0,0
08/03/2007 03,0,0
08/03/2007 04,0,0
08/03/2007 05,0,0
08/03/2007 06,0,0
08/03/2007 07,0,0
08/03/2007 08,0,0
08/03/2007 09,0,0
08/03/2007 10,0,0
08/03/2007 11,0,0
08/03/2007 12,0,0
08/03/2007 13,0,0
08/03/2007 14,0,0
08/03/2007 15,0,0
08/03/2007 16,0,0
08/03/2007 17,0,0
08/03/2007 18,0,0
08/03/2007 19,0,0
08/03/2007 20,0,0
08/03/2007 21,0,0
08/03/2007 22,0,0
08/03/2007 23,0,0
08/04/2007 00,0,0
08/04/2007 01,0,0
08/04/2007 02,0,0
08/04/2007 03,0,0
08/04/2007 04,0,0
08/04/2007 05,0,0
08/04/2007 06,0,0
08/04/2007 07,0,0
08/04/2007 08,0,0
08/04/2007 09,0,0
08/04/2007 10,0,0
08/04/2007 11,0,0
08/04/2007 12,0,0
