Collection_Timestamp,Discharge_(cmd)
01/01/2007 00:00,183.04:q=A
01/01/2007 00:10,186.15:q=A
01/01/2007 00:20,189.26:q=A
01/01/2007 00:30,192.36:q=A
01/01/2007 00:40,195.47:q=A
01/01/2007 00:50,196.46:q=A
01/01/2007 01:00,197.45:q=A
01/01/2007 01:10,198.43:q=A
01/01/2007 01:20,199.42:q=A
01/01/2007 01:30,200.41:q=A
01/01/2007 01:40,201.4:q=A
01/01/2007 01:50,202.39:q=A
01/01/2007 02:00,203.38:q=A
01/01/2007 02:10,204.36:q=A
01/01/2007 02:20,205.35:q=A
01/01/2007 02:30,206.34:q=A
01/01/2007 02:40,207.33:q=A
01/01/2007 02:50,208.32:q=A
01/01/2007 03:00,207.02:q=A
01/01/2007 03:10,208.5:q=A
01/01/2007 03:20,208.5:q=A
01/01/2007 03:30,208.5:q=A
01/01/2007 03:40,208.5:q=A
01/01/2007 03:50,208.5:q=A
01/01/2007 04:00,206.43:q=A
01/01/2007 04:10,204.37:q=A
01/01/2007 04:20,202.31:q=A
01/01/2007 04:30,200.25:q=A
01/01/2007 04:40,198.19:q=A
01/01/2007 04:50,193.38:q=A
01/01/2007 05:00,188.56:q=A
01/01/2007 05:10,183.75:q=A
01/01/2007 05:20,178.94:q=A
01/01/2007 05:30,176.88:q=A
01/01/2007 05:40,174.82:q=A
01/01/2007 05:50,172.75:q=A
01/01/2007 06:00,170.69:q=A
01/01/2007 06:10,168.63:q=A
01/01/2007 06:20,166.57:q=A
01/01/2007 06:30,164.51:q=A
01/01/2007 06:40,162.45:q=A
01/01/2007 06:50,160.39:q=A
01/01/2007 07:00,160.39:q=A
01/01/2007 07:10,160.39:q=A
01/01/2007 07:20,158.91:q=A
01/01/2007 07:30,157.44:q=A
01/01/2007 07:40,155.96:q=A
01/01/2007 07:50,154.48:q=A
01/01/2007 08:00,153.01:q=A
01/01/2007 08:10,151.53:q=A
01/01/2007 08:20,150.06:q=A
01/01/2007 08:30,148.58:q=A
01/01/2007 08:40,147.1:q=A
01/01/2007 08:50,145.63:q=A
01/01/2007 09:00,144.15:q=A
01/01/2007 09:10,142.68:q=A
01/01/2007 09:20,141.2:q=A
01/01/2007 09:30,139.73:q=A
01/01/2007 09:40,138.25:q=A
01/01/2007 09:50,136.77:q=A
01/01/2007 10:00,135.3:q=A
01/01/2007 10:10,135.3:q=A
01/01/2007 10:20,135.3:q=A
01/01/2007 10:30,135.3:q=A
01/01/2007 10:40,135.3:q=A
01/01/2007 10:50,135.3:q=A
01/01/2007 11:00,135.3:q=A
01/01/2007 11:10,135.3:q=A
01/01/2007 11:20,135.3:q=A
01/01/2007 11:30,135.3:q=A
01/01/2007 11:40,135.3:q=A
01/01/2007 11:50,135.3:q=A
01/01/2007 12:00,135.3:q=A
01/01/2007 12:10,135.3:q=A
01/01/2007 12:20,135.3:q=A
01/01/2007 12:30,135.3:q=A
01/01/2007 12:40,135.3:q=A
01/01/2007 12:50,135.3:q=A
01/01/2007 13:00,135.3:q=A
01/01/2007 13:10,135.3:q=A
01/01/2007 13:20,135.3:q=A
01/01/2007 13:30,136.77:q=A
01/01/2007 13:40,138.25:q=A
01/01/2007 13:50,139.73:q=A
01/01/2007 14:00,141.2:q=A
01/01/2007 14:10,142.68:q=A
01/01/2007 14:20,144.15:q=A
01/01/2007 14:30,145.63:q=A
01/01/2007 14:40,147.1:q=A
01/01/2007 14:50,148.58:q=A
01/01/2007 15:00,150.06:q=A
01/01/2007 15:10,151.53:q=A
01/01/2007 15:20,153.01:q=A
01/01/2007 15:30,154.48:q=A
01/01/2007 15:40,155.96:q=A
01/01/2007 15:50,157.44:q=A
01/01/2007 16:00,158.91:q=A
01/01/2007 16:10,160.39:q=A
01/01/2007 16:20,160.39:q=A
