,Date,Time,precip_mm,topmodel_mmhr,alternate_mmhr,observ_mmhr
1,4/30/2017,12:00:00 AM,0,0.09423624,0.12168,0.12168
2,4/30/2017,1:00:00 AM,0,0.093918188,0.121269682,0.12168
3,4/30/2017,2:00:00 AM,0,0.093602277,0.120861526,0.12168
4,4/30/2017,3:00:00 AM,0,0.093288486,0.120455515,0.12168
5,4/30/2017,4:00:00 AM,0,0.092976794,0.120051634,0.12168
6,4/30/2017,5:00:00 AM,0,0.09266718,0.119649865,0.12168
7,4/30/2017,6:00:00 AM,0,0.092359622,0.119250194,0.12168
8,4/30/2017,7:00:00 AM,0,0.092054101,0.118852603,0.12168
9,4/30/2017,8:00:00 AM,0,0.091750596,0.118457078,0.12168
10,4/30/2017,9:00:00 AM,0,0.091449087,0.118063602,0.12168
11,4/30/2017,10:00:00 AM,0,0.091149556,0.117672161,0.12168
12,4/30/2017,11:00:00 AM,0,0.090851981,0.117282738,0.12168
13,4/30/2017,12:00:00 PM,0,0.090556345,0.11689532,0.12168
14,4/30/2017,1:00:00 PM,0,0.090262628,0.11650989,0.12168
15,4/30/2017,2:00:00 PM,0,0.089970812,0.116126435,0.12168
16,4/30/2017,3:00:00 PM,0,0.089680878,0.115744938,0.12168
17,4/30/2017,4:00:00 PM,1.149999976,0.089392809,0.265357204,0.12528
18,4/30/2017,5:00:00 PM,0.350000024,0.089106585,0.164285006,0.12528
19,4/30/2017,6:00:00 PM,1.25,0.0965038,0.286947437,0.12528
20,4/30/2017,7:00:00 PM,1.925000191,0.151888724,0.392123153,0.12528
21,4/30/2017,8:00:00 PM,0.150000006,0.09635869,0.14484635,0.12528
22,4/30/2017,9:00:00 PM,0,0.094982638,0.122075777,0.12528
23,4/30/2017,10:00:00 PM,0,0.094659532,0.121663369,0.12528
24,4/30/2017,11:00:00 PM,0.100000001,0.094338619,0.136151278,0.12888
25,5/1/2017,12:00:00 AM,0,0.094019876,0.121025702,0.12888
26,5/1/2017,1:00:00 AM,0.400000006,0.093703281,0.178982602,0.12888
27,5/1/2017,2:00:00 AM,0.075000003,0.093388813,0.132026877,0.12888
28,5/1/2017,3:00:00 AM,0,0.093076451,0.120666105,0.12528
29,5/1/2017,4:00:00 AM,0,0.092766173,0.12026112,0.12528
30,5/1/2017,5:00:00 AM,0,0.092457958,0.119858256,0.12888
31,5/1/2017,6:00:00 AM,0.25,0.092151787,0.15511224,0.17568
32,5/1/2017,7:00:00 AM,0,0.091847638,0.119507981,0.22968
33,5/1/2017,8:00:00 AM,0,0.091545492,0.119109049,0.27864
34,5/1/2017,9:00:00 AM,2.949999809,0.187508453,0.53462707,0.29988
35,5/1/2017,10:00:00 AM,4.724999905,0.30686328,0.86923178,0.27288
36,5/1/2017,11:00:00 AM,1.625,0.182868157,0.577159022,0.2484
37,5/1/2017,12:00:00 PM,2.450000048,0.225881169,0.851322021,0.22968
38,5/1/2017,1:00:00 PM,0,0.129999284,0.138057289,0.21564
39,5/1/2017,2:00:00 PM,0.150000006,0.129394408,0.184880306,0.2016
40,5/1/2017,3:00:00 PM,0.5,0.141538238,0.294205702,0.19332
41,5/1/2017,4:00:00 PM,0.574999988,0.149852456,0.319303194,0.18396
42,5/1/2017,5:00:00 PM,0,0.130872353,0.138069827,0.17568
43,5/1/2017,6:00:00 PM,0,0.130259335,0.137568901,0.17208
44,5/1/2017,7:00:00 PM,0,0.12965204,0.137070866,0.1674
45,5/1/2017,8:00:00 PM,0,0.129050388,0.136575699,0.16416
46,5/1/2017,9:00:00 PM,0,0.1284543,0.136083375,0.16056
47,5/1/2017,10:00:00 PM,0,0.1278637,0.135593871,0.16056
48,5/1/2017,11:00:00 PM,0,0.127278513,0.135107162,0.18396
49,5/2/2017,12:00:00 AM,0,0.126698663,0.134623226,0.30564
50,5/2/2017,1:00:00 AM,0,0.126124079,0.13414204,0.432
51,5/2/2017,2:00:00 AM,0.25,0.125554688,0.204736961,0.414
52,5/2/2017,3:00:00 AM,5.599999905,0.33545403,1.722885329,0.3816
53,5/2/2017,4:00:00 AM,10.75000095,0.627743093,3.903024835,0.33984
54,5/2/2017,5:00:00 AM,2.775000095,0.329920598,1.451018911,0.30564
55,5/2/2017,6:00:00 AM,2.325000048,0.310160287,1.293237807,0.27864
56,5/2/2017,7:00:00 AM,0.349999994,0.254393308,0.341995236,0.25776
57,5/2/2017,8:00:00 AM,0,0.243952972,0.166544598,0.24372
58,5/2/2017,9:00:00 AM,0.075000003,0.241827235,0.203067458,0.23436
59,5/2/2017,10:00:00 AM,0,0.239738303,0.165300616,0.23436
60,5/2/2017,11:00:00 AM,0.050000001,0.237685228,0.189088781,0.26352
61,5/2/2017,12:00:00 PM,0.075000003,0.235667092,0.200483219,0.29988
62,5/2/2017,1:00:00 PM,0.075000003,0.23368301,0.199705243,0.3222
63,5/2/2017,2:00:00 PM,0.725000024,0.239626251,0.511101898,0.3816
64,5/2/2017,3:00:00 PM,1.225000024,0.281066518,0.75404733,0.3888
65,5/2/2017,4:00:00 PM,0.5,0.255174187,0.408600567,0.35712
66,5/2/2017,5:00:00 PM,2.450000048,0.416292845,1.361548765,0.3636
67,5/2/2017,6:00:00 PM,0.950000048,0.338513281,0.646816226,0.3744
