,day,time,avg_prec_[mm]
1,2017-04-01,00:00:00,0.8750000596046448
2,2017-04-01,01:00:00,0.75
3,2017-04-01,02:00:00,1.024999976158142
4,2017-04-01,03:00:00,1.625
5,2017-04-01,04:00:00,1.524999976158142
6,2017-04-01,05:00:00,1.5499999523162842
7,2017-04-01,06:00:00,1.1000001430511475
8,2017-04-01,07:00:00,1.5250000953674316
9,2017-04-01,08:00:00,1.25
10,2017-04-01,09:00:00,0.4749999940395355
11,2017-04-01,10:00:00,0.07500000298023224
12,2017-04-01,11:00:00,0.4749999940395355
13,2017-04-01,12:00:00,0.3499999940395355
14,2017-04-01,13:00:00,0.8500000238418579
15,2017-04-01,14:00:00,0.7249999642372131
16,2017-04-01,15:00:00,0.9750000238418579
17,2017-04-01,16:00:00,0.550000011920929
18,2017-04-01,17:00:00,0.375
19,2017-04-01,18:00:00,0.32500001788139343
20,2017-04-01,19:00:00,0.20000000298023224
21,2017-04-01,20:00:00,0.125
22,2017-04-01,21:00:00,0.0
23,2017-04-01,22:00:00,0.0
24,2017-04-01,23:00:00,0.07500000298023224
25,2017-04-02,00:00:00,0.0
26,2017-04-02,01:00:00,0.0
27,2017-04-02,02:00:00,0.0
28,2017-04-02,03:00:00,0.0
29,2017-04-02,04:00:00,0.0
30,2017-04-02,05:00:00,0.0
31,2017-04-02,06:00:00,0.0
32,2017-04-02,07:00:00,0.0
33,2017-04-02,08:00:00,0.0
34,2017-04-02,09:00:00,0.0
35,2017-04-02,10:00:00,0.0
36,2017-04-02,11:00:00,0.0
37,2017-04-02,12:00:00,0.0
38,2017-04-02,13:00:00,0.0
39,2017-04-02,14:00:00,0.0
40,2017-04-02,15:00:00,0.0
41,2017-04-02,16:00:00,0.0
42,2017-04-02,17:00:00,0.0
43,2017-04-02,18:00:00,0.0
44,2017-04-02,19:00:00,0.0
45,2017-04-02,20:00:00,0.0
46,2017-04-02,21:00:00,0.0
47,2017-04-02,22:00:00,0.0
48,2017-04-02,23:00:00,0.0
49,2017-04-03,00:00:00,0.0
50,2017-04-03,01:00:00,0.0
51,2017-04-03,02:00:00,0.0
52,2017-04-03,03:00:00,0.0
53,2017-04-03,04:00:00,0.0
54,2017-04-03,05:00:00,0.0
55,2017-04-03,06:00:00,0.0
56,2017-04-03,07:00:00,0.0
57,2017-04-03,08:00:00,0.0
58,2017-04-03,09:00:00,0.0
59,2017-04-03,10:00:00,0.0
60,2017-04-03,11:00:00,0.0
61,2017-04-03,12:00:00,0.0
62,2017-04-03,13:00:00,0.0
63,2017-04-03,14:00:00,0.0
64,2017-04-03,15:00:00,0.0
65,2017-04-03,16:00:00,0.0
66,2017-04-03,17:00:00,0.0
67,2017-04-03,18:00:00,0.0
68,2017-04-03,19:00:00,0.0
69,2017-04-03,20:00:00,0.0
70,2017-04-03,21:00:00,0.0
71,2017-04-03,22:00:00,0.0
72,2017-04-03,23:00:00,0.0
