Timestep,Cell_1,Cell_2,Cell_3
0,0,0,0
1,0.72,0.72,0.72
2,0.70272,0.72,0.72
3,0.68585472,0.71958528,0.72
4,0.677489287,0.718775747,0.719990047
5,0.633110398,0.717784872,0.719960904
6,0.594270006,0.715752684,0.719908679
7,0.559983193,0.7128371,0.719808935
8,0.529486914,0.709168606,0.719641611
9,0.502180572,0.704856246,0.719390259
10,0.477584784,0.699992029,0.719041442
11,0.455312149,0.694654255,0.718584256
12,0.435046103,0.688910045,0.718009936
13,0.416525381,0.716460659,0.717311539
14,0.399532399,0.695290546,0.717291118
15,0.38388446,0.675027881,0.716763104
16,0.369427007,0.655658224,0.715761459
17,0.35602839,0.63715728,0.714318981
18,0.343575758,0.619494389,0.7124671
19,0.331971811,0.602635044,0.710235755
20,0.321132201,0.586542692,0.707653338
21,0.310983439,0.571180006,0.704746683
22,0.301461199,0.556509783,0.701541083
23,0.29250893,0.542495555,0.698060331
24,0.284076708,0.529102,0.694326777
25,0.276120297,0.516295203,0.690361382
26,0.268600354,0.504042813,0.686183794
27,0.261481769,0.492314118,0.71346705
28,0.254733115,0.481080074,0.697861711
29,0.248326168,0.470313284,0.68289615
30,0.242235516,0.459987963,0.668532165
31,0.236438211,0.45007988,0.654734684
32,0.230913478,0.440566285,0.641471407
33,0.225642467,0.43142584,0.628712513
34,0.220608027,0.422638537,0.616430406
35,0.215794527,0.414185624,0.604599493
36,0.211187684,0.406049524,0.593195994
37,0.206774426,0.39821376,0.582197775
38,0.20254276,0.39066289,0.571584203
39,0.19848167,0.383382429,0.561336012
40,0.194581011,0.376358793,0.551435192
41,0.190831432,0.369579232,0.541864884
42,0.187224296,0.363031776,0.532609289
43,0.183751612,0.356705182,0.523653582
44,0.180405979,0.350588883,0.514983841
45,0.177180529,0.344672941,0.506586975
46,0.174068883,0.338948009,0.498450668
47,0.171065104,0.333405284,0.490563317
48,0.168163665,0.328036473,0.482913986
49,0.165359408,0.322833761,0.475492355
50,0.162647518,0.317789776,0.46828868
51,0.160023494,0.312897562,0.461293755
52,0.157483122,0.308150547,0.454498873
53,0.155022455,0.303542523,0.447895793
54,0.152637791,0.29906762,0.441476713
55,0.150325652,0.294720285,0.435234238
56,0.148082772,0.290495259,0.429161356
57,0.145906078,0.286387562,0.423251413
58,0.143792675,0.282392475,0.417498092
59,0.141739836,0.27850552,0.411895392
60,0.139744989,0.274722449,0.406437606
61,0.137805704,0.271039228,0.401119308
62,0.135919688,0.267452027,0.395935335
63,0.13408477,0.263957202,0.390880768
64,0.132298898,0.260551291,0.385950921
65,0.130560125,0.257230995,0.38114133
66,0.12886661,0.253993178,0.376447735
67,0.127216604,0.250834849,0.37186607
68,0.125608448,0.24775316,0.367392457
69,0.124040568,0.244745392,0.363023188
70,0.122511464,0.241808955,0.358754723
71,0.121019715,0.238941374,0.354583675
72,0.119563964,0.236140285,0.350506806
73,0.118142922,0.233403432,0.346521017
74,0.11675536,0.230728657,0.342623341
75,0.115400106,0.228113895,0.338810938
76,0.114076042,0.225557173,0.335081083
77,0.112782102,0.223056601,0.331431168
78,0.111517268,0.220610368,0.32785869
79,0.110280566,0.218216741,0.324361249
80,0.109071067,0.215874059,0.320936541
81,0.107887882,0.213580728,0.317582352
82,0.106730159,0.21133522,0.31429656
83,0.105597083,0.209136069,0.311077123
84,0.104487876,0.206981866,0.307922079
85,0.103401788,0.204871261,0.304829541
86,0.102338104,0.202802955,0.301797696
87,0.101296136,0.200775698,0.298824797
88,0.100275225,0.198788292,0.295909163
89,0.099274737,0.196839582,0.293049179
90,0.098294066,0.194928458,0.290243284
