Timestep,Cell_1,Cell_2,Cell_3
0,0,0,0
1,0.72,0.72,0.72
2,0.70272,0.72,0.72
3,0.68585472,0.71958528,0.72
4,0.669394207,0.718775747,0.719990047
5,0.653328746,0.71759059,0.719960904
6,0.637648856,0.716048305,0.719904016
7,0.622345283,0.714166719,0.719811479
8,0.607408997,0.711963004,0.719676005
9,0.592831181,0.709453708,0.719490893
10,0.578603232,0.706654767,0.71925
11,0.564716755,0.70358153,0.718947715
12,0.551163553,0.700248776,0.718578926
13,0.537935627,0.69667073,0.718139003
14,0.525025172,0.692861088,0.717623764
15,0.512424568,0.688833026,0.71702946
16,0.500126378,0.684599223,0.716352745
17,0.488123345,0.680171875,0.715590661
18,0.476408385,0.67556271,0.71474061
19,0.464974584,0.670783006,0.71380034
20,0.453815194,0.665843604,0.712767924
21,0.442923629,0.660754922,0.711641741
22,0.432293462,0.655526971,0.710420457
23,0.421918419,0.650169367,0.709103013
24,0.411792377,0.644691344,0.707688606
25,0.40190936,0.639101769,0.706176672
26,0.392263535,0.633409151,0.704566874
27,0.38284921,0.627621656,0.702859089
28,0.373660829,0.621747118,0.70105339
29,0.364692969,0.615793047,0.69915004
30,0.355940338,0.609766645,0.697149472
31,0.34739777,0.603674814,0.695052284
32,0.339060224,0.597524165,0.692859225
33,0.330922778,0.59132103,0.690571183
34,0.322980632,0.585071472,0.68818918
35,0.315229096,0.578781292,0.685714355
36,0.307663598,0.572456039,0.683147961
37,0.300279672,0.56610102,0.680491355
38,0.29307296,0.559721308,0.677745987
39,0.286039209,0.553321748,0.674913395
40,0.279174268,0.546906967,0.671995195
41,0.272474085,0.540481382,0.668993078
42,0.265934707,0.534049207,0.665908797
43,0.259552274,0.527614459,0.662744167
44,0.25332302,0.521180966,0.659501054
45,0.247243267,0.514752376,0.656181372
46,0.241309429,0.508332157,0.652787076
47,0.235518002,0.501923612,0.649320158
48,0.22986557,0.495529877,0.645782641
49,0.224348797,0.489153934,0.642176574
50,0.218964426,0.48279861,0.638504031
51,0.213709279,0.47646659,0.634767101
52,0.208580257,0.470160415,0.630967889
53,0.20357433,0.463882491,0.627108509
54,0.198688547,0.457635095,0.623191085
55,0.193920021,0.451420378,0.619217741
56,0.189265941,0.445240369,0.615190604
57,0.184723558,0.439096983,0.611111799
58,0.180290193,0.432992021,0.606983443
59,0.175963228,0.426927177,0.602807649
60,0.171740111,0.420904042,0.598586518
61,0.167618348,0.414924108,0.594322138
62,0.163595508,0.408988769,0.590016585
63,0.159669216,0.403099331,0.585671918
64,0.155837154,0.397257008,0.581290176
65,0.152097063,0.391462932,0.57687338
66,0.148446733,0.385718151,0.572423529
67,0.144884012,0.380023637,0.5679426
68,0.141406795,0.374380286,0.563432545
69,0.138013032,0.368788922,0.558895291
70,0.134700719,0.363250301,0.554332738
71,0.131467902,0.357765111,0.549746759
72,0.128312673,0.352333978,0.5451392
73,0.125233168,0.346957467,0.540511874
74,0.122227572,0.341636083,0.535866569
75,0.119294111,0.336370279,0.531205037
76,0.116431052,0.331160451,0.526529003
77,0.113636707,0.326006946,0.521840158
78,0.110909426,0.32091006,0.51714016
79,0.1082476,0.315870045,0.512430638
80,0.105649657,0.310887106,0.507713184
81,0.103114065,0.305961407,0.502989358
82,0.100639328,0.301093071,0.498260687
83,0.098223984,0.296282181,0.493528664
84,0.095866608,0.291528784,0.488794749
85,0.09356581,0.286832892,0.484060366
86,0.09132023,0.282194482,0.479326906
87,0.089128545,0.2776135,0.474595728
88,0.08698946,0.273089861,0.469868155
89,0.084901713,0.268623452,0.465145476
90,0.082864072,0.26421413,0.460428947
