timestep,date,time,flow_cfs,flow_cms,flow_ms,Etp,avg_prec_mm,precip_m
1,5/1/2014,12:00:00 AM,1.8495,0.052371958,6.83E-08,0.000125,1.150000095,0.00115
2,5/1/2014,1:00:00 AM,1.9816,0.05611261,7.32E-08,0.000125,2.099999905,0.0021
3,5/1/2014,2:00:00 AM,1.9816,0.05611261,7.32E-08,0.000125,1.400000095,0.0014
4,5/1/2014,3:00:00 AM,2.1899,0.062011004,8.09E-08,0.000125,2.549999952,0.00255
5,5/1/2014,4:00:00 AM,2.4107,0.068263358,8.91E-08,0.000125,0.200000003,0.0002
6,5/1/2014,5:00:00 AM,2.6441,0.074872504,9.77E-08,0.000125,0,0
7,5/1/2014,6:00:00 AM,2.8904,0.081846936,1.07E-07,0.000125,0.200000003,0.0002
8,5/1/2014,7:00:00 AM,3.1498,0.089192319,1.16E-07,0.000125,0.200000003,0.0002
9,5/1/2014,8:00:00 AM,3.4225,0.096914316,1.26E-07,0.000125,1.600000024,0.0016
10,5/1/2014,9:00:00 AM,3.6118,0.10227469,1.33E-07,0.000125,1.950000048,0.00195
11,5/1/2014,10:00:00 AM,4.0085,0.113507973,1.48E-07,0.000125,0.200000003,0.0002
12,5/1/2014,11:00:00 AM,4.3223,0.122393791,1.60E-07,0.000125,0.200000003,0.0002
13,5/1/2014,12:00:00 PM,4.6501,0.131676044,1.72E-07,0.000125,2.099999905,0.0021
14,5/1/2014,1:00:00 PM,4.7626,0.134861686,1.76E-07,0.000125,0,0
15,5/1/2014,2:00:00 PM,4.9922,0.141363228,1.84E-07,0.000125,0,0
16,5/1/2014,3:00:00 PM,5.3488,0.151461006,1.98E-07,0.000125,0,0
17,5/1/2014,4:00:00 PM,5.5947,0.158424112,2.07E-07,0.000125,0,0
18,5/1/2014,5:00:00 PM,5.72,0.16197221,2.11E-07,0.000125,0,0
19,5/1/2014,6:00:00 PM,5.72,0.16197221,2.11E-07,0.000125,0,0
20,5/1/2014,7:00:00 PM,5.72,0.16197221,2.11E-07,0.000125,0,0
21,5/1/2014,8:00:00 PM,5.5947,0.158424112,2.07E-07,0.000125,0,0
22,5/1/2014,9:00:00 PM,5.3488,0.151461006,1.98E-07,0.000125,0,0
23,5/1/2014,10:00:00 PM,5.1095,0.144684791,1.89E-07,0.000125,0,0
24,5/1/2014,11:00:00 PM,5.72,0.16197221,2.11E-07,0.000125,0,0
25,5/2/2014,12:00:00 AM,6.5072,0.184263211,2.40E-07,0.000125,0.349999994,0.00035
26,5/2/2014,1:00:00 AM,6.5072,0.184263211,2.40E-07,0.000125,0,0
27,5/2/2014,2:00:00 AM,5.9758,0.169215652,2.21E-07,0.000125,0.699999988,0.0007
28,5/2/2014,3:00:00 AM,5.5947,0.158424112,2.07E-07,0.000125,0,0
29,5/2/2014,4:00:00 AM,4.9922,0.141363228,1.84E-07,0.000125,0.600000024,0.0006
30,5/2/2014,5:00:00 AM,4.6501,0.131676044,1.72E-07,0.000125,0,0
31,5/2/2014,6:00:00 AM,4.3223,0.122393791,1.60E-07,0.000125,0,0
32,5/2/2014,7:00:00 AM,4.1116,0.116427437,1.52E-07,0.000125,0,0
33,5/2/2014,8:00:00 AM,3.8071,0.107804965,1.41E-07,0.000125,0,0
34,5/2/2014,9:00:00 AM,3.7087,0.10501859,1.37E-07,0.000125,0,0
35,5/2/2014,10:00:00 AM,3.4225,0.096914316,1.26E-07,0.000125,0,0
36,5/2/2014,11:00:00 AM,3.4225,0.096914316,1.26E-07,0.000125,0,0
37,5/2/2014,12:00:00 PM,3.4225,0.096914316,1.26E-07,0.000125,0,0
38,5/2/2014,1:00:00 PM,3.4225,0.096914316,1.26E-07,0.000125,0,0
39,5/2/2014,2:00:00 PM,3.4225,0.096914316,1.26E-07,0.000125,0,0
40,5/2/2014,3:00:00 PM,3.6118,0.10227469,1.33E-07,0.000125,0,0
41,5/2/2014,4:00:00 PM,3.7087,0.10501859,1.37E-07,0.000125,0,0
42,5/2/2014,5:00:00 PM,3.7087,0.10501859,1.37E-07,0.000125,0.649999976,0.00065
43,5/2/2014,6:00:00 PM,3.7087,0.10501859,1.37E-07,0.000125,0.200000003,0.0002
44,5/2/2014,7:00:00 PM,3.7087,0.10501859,1.37E-07,0.000125,0,0
45,5/2/2014,8:00:00 PM,3.7087,0.10501859,1.37E-07,0.000125,0,0
46,5/2/2014,9:00:00 PM,3.6118,0.10227469,1.33E-07,0.000125,0,0
47,5/2/2014,10:00:00 PM,3.4225,0.096914316,1.26E-07,0.000125,0,0
48,5/2/2014,11:00:00 PM,3.3301,0.094297842,1.23E-07,0.000125,0,0
49,5/3/2014,12:00:00 AM,3.1498,0.089192319,1.16E-07,0.000125,0,0
50,5/3/2014,1:00:00 AM,2.9754,0.084253866,1.10E-07,0.000125,0,0
51,5/3/2014,2:00:00 AM,2.8904,0.081846936,1.07E-07,0.000125,0,0
52,5/3/2014,3:00:00 AM,2.7248,0.077157671,1.01E-07,0.000125,0,0
53,5/3/2014,4:00:00 AM,2.6441,0.074872504,9.77E-08,0.000125,0,0
54,5/3/2014,5:00:00 AM,2.6441,0.074872504,9.77E-08,0.000125,0,0
55,5/3/2014,6:00:00 AM,2.5649,0.072629811,9.48E-08,0.000125,0,0
56,5/3/2014,7:00:00 AM,2.4107,0.068263358,8.91E-08,0.000125,0,0
57,5/3/2014,8:00:00 AM,2.4107,0.068263358,8.91E-08,0.000125,0,0
58,5/3/2014,9:00:00 AM,2.3357,0.066139596,8.63E-08,0.000125,0,0
59,5/3/2014,10:00:00 AM,2.3357,0.066139596,8.63E-08,0.000125,0,0
60,5/3/2014,11:00:00 AM,2.3357,0.066139596,8.63E-08,0.000125,0,0
61,5/3/2014,12:00:00 PM,2.3357,0.066139596,8.63E-08,0.000125,0,0
62,5/3/2014,1:00:00 PM,2.4107,0.068263358,8.91E-08,0.000125,0,0
63,5/3/2014,2:00:00 PM,2.5649,0.072629811,9.48E-08,0.000125,0,0
64,5/3/2014,3:00:00 PM,2.5649,0.072629811,9.48E-08,0.000125,0,0
65,5/3/2014,4:00:00 PM,2.6441,0.074872504,9.77E-08,0.000125,0,0
66,5/3/2014,5:00:00 PM,2.6441,0.074872504,9.77E-08,0.000125,0,0
67,5/3/2014,6:00:00 PM,2.6441,0.074872504,9.77E-08,0.000125,0,0
68,5/3/2014,7:00:00 PM,2.6441,0.074872504,9.77E-08,0.000125,0,0
69,5/3/2014,8:00:00 PM,2.6441,0.074872504,9.77E-08,0.000125,0,0
