ObjectID,Session ID,ComID,Permanent Identifier,Reach Code,From Measure,To Measure,Total Distance (km),Total FlowTime (day),Hydro Sequence,Level Path ID,Terminal Path ID,Up Hydro Seq,Dn Hydro Seq,Length (km),Length Measure Ratio,Path Time,Time Measure Ratio,Reach SMDate,FType,FCode,FCode_Str,GNIS ID,GNIS Name,WbArea Permanent Identifier,WbArea ComID,WBD HUC12,Catchment FeatureID,Quality Marker,Navigable,Coastal,InNetwork,Shape Length
1,{750670a0-1535-4011-a4e3-79edc0f38562},4572273,4572273,01080102000068,0,100,13.66,0.42165923977547987,150035792,150030465,150002258,150045010,150030465,3.533,0.03533020787230001,0.11761083000000001,0.0011761083,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1457906,Houghton Brook,,,010801020401,4572273,,Y,N,Y,0.03970083329814095
2,{750670a0-1535-4011-a4e3-79edc0f38562},4572285,4572285,01080102000099,0,100,9.834,0.2944242597754798,150045008,150045008,150002258,150061440,150035789,1.645,0.016446792347600003,0.057167890000000006,0.0005716789,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1458711,North Brook,,,010801020401,4572285,,Y,N,Y,0.017009805400179358
3,{750670a0-1535-4011-a4e3-79edc0f38562},4572297,4572297,01080102000102,0,100,6.748,0.20335498977547992,150045007,150045007,150002258,150061437,150024131,2.202,0.0220186982015,0.07366127,0.0007366127,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459275,Roy Brook,,,010801020401,4572297,,Y,N,Y,0.02454675651390518
4,{750670a0-1535-4011-a4e3-79edc0f38562},4572267,4572267,01080102000069,0,0.69858,13.699,0.4244883697754798,150045010,150030465,150002258,150061456,150035792,0.039,0.055624068639239604,0.00282913,0.0040498296544418675,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1457906,Houghton Brook,,,010801020401,4572267,,Y,N,Y,0.0003488082567661937
5,{750670a0-1535-4011-a4e3-79edc0f38562},4572353,4572353,01080102000067,0,100,10.127,0.3040483997754798,150030465,150030465,150002258,150035792,150026827,5.041,0.0504114759247,0.16030508,0.0016030508000000002,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1457906,Houghton Brook,,,010801020401,4572353,,Y,N,Y,0.04940341686887312
6,{750670a0-1535-4011-a4e3-79edc0f38562},4572291,4572291,01080102000070,0,100,8.189,0.23725635977547993,150035789,150022015,150002258,150045004,150026827,3.103,0.031030668362799996,0.09351304,0.0009351304000000001,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459534,Sleepers River,,,010801020401,4572291,,Y,N,Y,0.03663856651523976
7,{750670a0-1535-4011-a4e3-79edc0f38562},4572349,4572349,01080102000072,0,100,14.921,0.4832667997754798,150061433,150061433,150002258,0,150045004,5.477,0.0547682942404,0.20719115000000002,0.0020719115000000002,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1456202,Badger Brook,,,010801020401,4572349,,Y,N,Y,0.06380173115130856
8,{750670a0-1535-4011-a4e3-79edc0f38562},4572351,4572351,01080102000071,0,100,9.444,0.2760756597754798,150045004,150022015,150002258,150061432,150035789,1.255,0.012550515250300001,0.03881929,0.0003881929000000001,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1458539,Morrill Brook,,,010801020401,4572351,,Y,N,Y,0.014995134571942193
9,{750670a0-1535-4011-a4e3-79edc0f38562},4572307,4572307,01080102000065,34.271010000000004,100,4.546,0.1296937197754799,150024131,150022015,150002258,150026827,150022015,4.546,0.06915659720710844,0.1296937197754799,0.001973158567862976,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459534,Sleepers River,,,010801020401,4572307,,Y,N,Y,0.047182764222202384
10,{750670a0-1535-4011-a4e3-79edc0f38562},4571157,4571157,01080102000097,20.147180000000002,63.14529,15,0.4891027402137854,150061457,150045009,150002258,0,150045009,3.317,0.0771401509854004,0.11794527043830548,0.002743033871565212,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1456682,Burroughs Brook,,,010801020401,4571157,,Y,N,Y,0.0349741032013368
11,{750670a0-1535-4011-a4e3-79edc0f38562},4572355,4572355,01080102000087,0,97.01339,15,0.4598082305315432,150061432,150022015,150002258,0,150045004,5.556,0.0572743757742,0.18373258075606327,0.0018938889000000001,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1458539,Morrill Brook,,,010801020401,4572355,,Y,N,Y,0.06575605096182663
12,{750670a0-1535-4011-a4e3-79edc0f38562},4572269,4572269,01080102000097,0,20.147180000000002,11.683,0.37115746977547986,150045009,150045009,150002258,150061457,150030465,1.556,0.07725062161801305,0.06710906000000001,0.003330940608065248,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1456682,Burroughs Brook,,,010801020401,4572269,,Y,N,Y,0.016110126447048803
13,{750670a0-1535-4011-a4e3-79edc0f38562},4572345,4572345,01080102000098,0,32.89054,15,0.47918329836099066,150045005,150045005,150002258,150061455,150035792,1.34,0.040730428736828674,0.05752405858551073,0.0017489546080769905,"December 12, 2000",460,46006,Stream/River: Hydrographic Category = Perennial,1456783,Cary Brook,,,010801020401,4572345,,Y,N,Y,0.016597860003608494
14,{750670a0-1535-4011-a4e3-79edc0f38562},4571159,4571159,01080102000069,0.69858,24.17429,15,0.46743177803097424,150061456,150030465,150002258,0,150045010,1.301,0.055416355867519314,0.04294341825549433,0.0018292699137635697,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1457906,Houghton Brook,,,010801020401,4571159,,Y,N,Y,0.014668620691982635
15,{750670a0-1535-4011-a4e3-79edc0f38562},4572347,4572347,01080102000101,0,100,14.902,0.46892107977547987,150061434,150061434,150002258,0,150045008,5.068,0.0506806697946,0.17449682,0.0017449682,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459041,Pope Brook,,,010801020401,4572347,,Y,N,Y,0.05969851085749031
16,{750670a0-1535-4011-a4e3-79edc0f38562},4572359,4572359,01080102000104,0,100,12.432,0.41850539977547985,150061431,150061431,150002258,0,150045007,5.684,0.056838539809000006,0.21515041000000001,0.0021515041000000003,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1460228,Whiteman Brook,,,010801020401,4572359,,Y,N,Y,0.06636758050203972
17,{750670a0-1535-4011-a4e3-79edc0f38562},4572295,4572295,01080102000103,0,100,10.543,0.3493564297754798,150061437,150045007,150002258,0,150045007,3.795,0.037951108192,0.14600144,0.0014600144,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459275,Roy Brook,,,010801020401,4572295,,Y,N,Y,0.045224558990274825
18,{750670a0-1535-4011-a4e3-79edc0f38562},4572275,4572275,01080102000100,0,100,12.88,0.41855875977547985,150061440,150045008,150002258,0,150045008,3.046,0.030462705754399997,0.12413450000000001,0.001241345,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1458711,North Brook,,,010801020401,4572275,,Y,N,Y,0.030313856152321135
19,{750670a0-1535-4011-a4e3-79edc0f38562},4572293,4572293,01080102000066,0,100,5.086,0.14374331977547988,150026827,150022015,150002258,150035789,150024131,0.54,0.0054021593807,0.0140496,0.00014049600000000002,"August 13, 1999",460,46006,Stream/River: Hydrographic Category = Perennial,1459534,Sleepers River,,,010801020401,4572293,,Y,N,Y,0.005618439607996113
