timestep,day,time,avg_prec_[mm]
1,4/1/2017,0:00:00,0.87500006
2,4/1/2017,1:00:00,0.75
3,4/1/2017,2:00:00,1.024999976
4,4/1/2017,3:00:00,1.625
5,4/1/2017,4:00:00,1.524999976
6,4/1/2017,5:00:00,1.549999952
7,4/1/2017,6:00:00,1.100000143
8,4/1/2017,7:00:00,1.525000095
9,4/1/2017,8:00:00,1.25
10,4/1/2017,9:00:00,0.474999994
11,4/1/2017,10:00:00,0.075000003
12,4/1/2017,11:00:00,0.474999994
13,4/1/2017,12:00:00,0.349999994
14,4/1/2017,13:00:00,0.850000024
15,4/1/2017,14:00:00,0.724999964
16,4/1/2017,15:00:00,0.975000024
17,4/1/2017,16:00:00,0.550000012
18,4/1/2017,17:00:00,0.375
19,4/1/2017,18:00:00,0.325000018
20,4/1/2017,19:00:00,0.200000003
21,4/1/2017,20:00:00,0.125
22,4/1/2017,21:00:00,0
23,4/1/2017,22:00:00,0
24,4/1/2017,23:00:00,0.075000003
25,4/2/2017,0:00:00,0
26,4/2/2017,1:00:00,0
27,4/2/2017,2:00:00,0
28,4/2/2017,3:00:00,0
29,4/2/2017,4:00:00,0
30,4/2/2017,5:00:00,0
31,4/2/2017,6:00:00,0
32,4/2/2017,7:00:00,0
33,4/2/2017,8:00:00,0
34,4/2/2017,9:00:00,0
35,4/2/2017,10:00:00,0
36,4/2/2017,11:00:00,0
37,4/2/2017,12:00:00,0
38,4/2/2017,13:00:00,0
39,4/2/2017,14:00:00,0
40,4/2/2017,15:00:00,0
41,4/2/2017,16:00:00,0
42,4/2/2017,17:00:00,0
43,4/2/2017,18:00:00,0
44,4/2/2017,19:00:00,0
45,4/2/2017,20:00:00,0
46,4/2/2017,21:00:00,0
47,4/2/2017,22:00:00,0
48,4/2/2017,23:00:00,0
49,4/3/2017,0:00:00,0
50,4/3/2017,1:00:00,0
51,4/3/2017,2:00:00,0
52,4/3/2017,3:00:00,0
53,4/3/2017,4:00:00,0
54,4/3/2017,5:00:00,0
55,4/3/2017,6:00:00,0
56,4/3/2017,7:00:00,0
57,4/3/2017,8:00:00,0
58,4/3/2017,9:00:00,0
59,4/3/2017,10:00:00,0
60,4/3/2017,11:00:00,0
61,4/3/2017,12:00:00,0
62,4/3/2017,13:00:00,0
63,4/3/2017,14:00:00,0
