timestep,date,Time,flow_cms,flow_ms,flow_mh,Etp_mm_day,Etp_mm_hour,avg_prec_mm,precip_m
1,4/1/2017,12:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,0.87500006,0.000875
2,4/1/2017,1:00:00 AM,0.181793984,2.09E-08,7.52E-05,0.003,0.000125,0.75,0.00075
3,4/1/2017,2:00:00 AM,0.181793984,2.09E-08,7.52E-05,0.003,0.000125,1.024999976,0.001025
4,4/1/2017,3:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.625,0.001625
5,4/1/2017,4:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.524999976,0.001525
6,4/1/2017,5:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.549999952,0.00155
7,4/1/2017,6:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.100000143,0.0011
8,4/1/2017,7:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.525000095,0.001525
9,4/1/2017,8:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,1.25,0.00125
10,4/1/2017,9:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,0.474999994,0.000475
11,4/1/2017,10:00:00 AM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,0.075000003,7.50E-05
12,4/1/2017,11:00:00 AM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.474999994,0.000475
13,4/1/2017,12:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.349999994,0.00035
14,4/1/2017,1:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.850000024,0.00085
15,4/1/2017,2:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.724999964,0.000725
16,4/1/2017,3:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.975000024,0.000975
17,4/1/2017,4:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.550000012,0.00055
18,4/1/2017,5:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.375,0.000375
19,4/1/2017,6:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.325000018,0.000325
20,4/1/2017,7:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.200000003,0.0002
21,4/1/2017,8:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.125,0.000125
22,4/1/2017,9:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
23,4/1/2017,10:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
24,4/1/2017,11:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0.075000003,7.50E-05
25,4/2/2017,12:00:00 AM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
26,4/2/2017,1:00:00 AM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
27,4/2/2017,2:00:00 AM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
28,4/2/2017,3:00:00 AM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
29,4/2/2017,4:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
30,4/2/2017,5:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
31,4/2/2017,6:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
32,4/2/2017,7:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
33,4/2/2017,8:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
34,4/2/2017,9:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
35,4/2/2017,10:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
36,4/2/2017,11:00:00 AM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
37,4/2/2017,12:00:00 PM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
38,4/2/2017,1:00:00 PM,0.163104883,1.87E-08,6.75E-05,0.003,0.000125,0,0
39,4/2/2017,2:00:00 PM,0.169334583,1.95E-08,7.01E-05,0.003,0.000125,0,0
40,4/2/2017,3:00:00 PM,0.175564283,2.02E-08,7.26E-05,0.003,0.000125,0,0
41,4/2/2017,4:00:00 PM,0.201615758,2.32E-08,8.34E-05,0.003,0.000125,0,0
42,4/2/2017,5:00:00 PM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0,0
43,4/2/2017,6:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0,0
44,4/2/2017,7:00:00 PM,0.276938499,3.18E-08,1.15E-04,0.003,0.000125,0,0
45,4/2/2017,8:00:00 PM,0.285999881,3.29E-08,1.18E-04,0.003,0.000125,0,0
46,4/2/2017,9:00:00 PM,0.276938499,3.18E-08,1.15E-04,0.003,0.000125,0,0
47,4/2/2017,10:00:00 PM,0.268726621,3.09E-08,1.11E-04,0.003,0.000125,0,0
48,4/2/2017,11:00:00 PM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0,0
49,4/3/2017,12:00:00 AM,0.244940492,2.81E-08,1.01E-04,0.003,0.000125,0,0
50,4/3/2017,1:00:00 AM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0,0
51,4/3/2017,2:00:00 AM,0.229932578,2.64E-08,9.51E-05,0.003,0.000125,0,0
52,4/3/2017,3:00:00 AM,0.222570204,2.56E-08,9.21E-05,0.003,0.000125,0,0
53,4/3/2017,4:00:00 AM,0.222570204,2.56E-08,9.21E-05,0.003,0.000125,0,0
54,4/3/2017,5:00:00 AM,0.215490999,2.48E-08,8.91E-05,0.003,0.000125,0,0
55,4/3/2017,6:00:00 AM,0.208411795,2.39E-08,8.62E-05,0.003,0.000125,0,0
56,4/3/2017,7:00:00 AM,0.208411795,2.39E-08,8.62E-05,0.003,0.000125,0,0
57,4/3/2017,8:00:00 AM,0.201615758,2.32E-08,8.34E-05,0.003,0.000125,0,0
58,4/3/2017,9:00:00 AM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
59,4/3/2017,10:00:00 AM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
60,4/3/2017,11:00:00 AM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
61,4/3/2017,12:00:00 PM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
62,4/3/2017,1:00:00 PM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
63,4/3/2017,2:00:00 PM,0.194819721,2.24E-08,8.06E-05,0.003,0.000125,0,0
64,4/3/2017,3:00:00 PM,0.201615758,2.32E-08,8.34E-05,0.003,0.000125,0,0
65,4/3/2017,4:00:00 PM,0.215490999,2.48E-08,8.91E-05,0.003,0.000125,0,0
66,4/3/2017,5:00:00 PM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0,0
67,4/3/2017,6:00:00 PM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0,0
68,4/3/2017,7:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0,0
69,4/3/2017,8:00:00 PM,0.268726621,3.09E-08,1.11E-04,0.003,0.000125,0,0
70,4/3/2017,9:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0,0
71,4/3/2017,10:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0,0
72,4/3/2017,11:00:00 PM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0,0
73,4/4/2017,12:00:00 AM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0,0
74,4/4/2017,1:00:00 AM,0.244940492,2.81E-08,1.01E-04,0.003,0.000125,0,0
75,4/4/2017,2:00:00 AM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0,0
76,4/4/2017,3:00:00 AM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0,0
77,4/4/2017,4:00:00 AM,0.229932578,2.64E-08,9.51E-05,0.003,0.000125,0,0
78,4/4/2017,5:00:00 AM,0.229932578,2.64E-08,9.51E-05,0.003,0.000125,0,0
79,4/4/2017,6:00:00 AM,0.222570204,2.56E-08,9.21E-05,0.003,0.000125,0,0
80,4/4/2017,7:00:00 AM,0.222570204,2.56E-08,9.21E-05,0.003,0.000125,0,0
81,4/4/2017,8:00:00 AM,0.229932578,2.64E-08,9.51E-05,0.003,0.000125,0,0
82,4/4/2017,9:00:00 AM,0.229932578,2.64E-08,9.51E-05,0.003,0.000125,0.125,0.000125
83,4/4/2017,10:00:00 AM,0.237294951,2.73E-08,9.82E-05,0.003,0.000125,0.275000006,0.000275
84,4/4/2017,11:00:00 AM,0.244940492,2.81E-08,1.01E-04,0.003,0.000125,0.975000024,0.000975
85,4/4/2017,12:00:00 PM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0.774999976,0.000775
86,4/4/2017,1:00:00 PM,0.252586034,2.90E-08,1.04E-04,0.003,0.000125,0.974999964,0.000975
87,4/4/2017,2:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0.975000024,0.000975
88,4/4/2017,3:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0.150000006,0.00015
89,4/4/2017,4:00:00 PM,0.260514743,2.99E-08,1.08E-04,0.003,0.000125,0,0
90,4/4/2017,5:00:00 PM,0.268726621,3.09E-08,1.11E-04,0.003,0.000125,0,0
91,4/4/2017,6:00:00 PM,0.268726621,3.09E-08,1.11E-04,0.003,0.000125,0.375,0.000375
92,4/4/2017,7:00:00 PM,0.268726621,3.09E-08,1.11E-04,0.003,0.000125,0.275000006,0.000275
93,4/4/2017,8:00:00 PM,0.276938499,3.18E-08,1.15E-04,0.003,0.000125,0,0
94,4/4/2017,9:00:00 PM,0.294494927,3.38E-08,1.22E-04,0.003,0.000125,0.075000003,7.50E-05
95,4/4/2017,10:00:00 PM,0.319980065,3.68E-08,1.32E-04,0.003,0.000125,0.324999988,0.000325
